,countries,x,y
0,Afghanistan,-144,18
1,Armenia,-208,45
2,Azerbaijan,-190,56
3,Bahrain,-209,-13
4,Bangladesh,-66,-26
5,Bhutan,-62,-10
6,Brunei,23,-107
7,Cambodia,-12,-73
8,China,-9,8
9,Cyprus,-263,23
10,Georgia,-199,60
11,India,-107,-28
12,Indonesia,36,-136
13,Iran,-190,11
14,Iraq,-224,13
15,Israel,-260,8
16,Japan,118,29
17,Jordan,-254,6
18,Kazakhstan,-122,73
19,Kuwait,-216,-1
20,Kyrgyzstan,-104,52
21,Laos,-22,-41
22,Lebanon,-250,23
23,Malaysia,-20,-106
24,Maldives,-137,-120
25,Mongolia,-4,71
26,Myanmar,-43,-35
27,Nepal,-87,-6
28,North Korea,74,44
29,Oman,-188,-39
30,Pakistan,-136,2
31,Palestine,-257,14
32,Philippines,56,-78
33,Qatar,-208,-17
34,Russia,0,144
35,Saudi Arabia,-238,-17
36,Singapore,-15,-121
37,South Korea,79,29
38,Sri Lanka,-106,-97
39,Syria,-239,23
40,Taiwan,50,-26
41,Tajikistan,-124,39
42,Thailand,-24,-57
43,Timor-Leste,67,-166
44,Turkey,-247,46
45,Turkmenistan,-162,42
46,United Arab Emirates,-199,-27
47,Uzbekistan,-145,54
48,Vietnam,2,-61
49,Yemen,-227,-63
